dataProvider.name,count_of_items
Florida Memory,78171
University of Miami Libraries,45643
Florida State University Libraries,35789
Florida International University Libraries,5965
First Baptist Church of Tallahassee,2033
City of Coral Gables,1557
Monroe County Public Library,805
Vaclav Havel Library Foundation,10
