term,count
Colorado College,9368
History Colorado,7287
Denver Public Library,7264
Colorado State Publications Library,7186
American Heritage Center,6795
Eagle Valley Library District,4699
Leslie J. Savage Library,1352
Fort Lewis College,1169
"Salida Regional Library (Salida, Colo.)",790
University of Wyoming,563
Bud Werner Memorial Library,161
Gunnison County Library District,115
Mesa County Libraries,66
Vail Public Library,24
Pine River Library,3
term,count
