term,count
Florida Memory,78171
University of Miami Libraries,45643
Florida State University Libraries,35789
Florida International University Libraries,5748
First Baptist Church of Tallahassee,2033
City of Coral Gables,1774
Monroe County Public Library,805
Vaclav Havel Library Foundation,10
term,count
