term,count
"Library of Congress Geography and Map Division Washington, D.C. 20540-4650 USA dcu",3259
"Library of Congress Geography and Map Division Washington, D.C. 20540-4650 dcu",1146
"Library of Congress Prints and Photographs Division Washington, D.C. 20540 USA dcu",40
"Library of Congress Prints and Photographs Division Washington, D.C. 20540 USA dcu http://hdl.loc.gov/loc.pnp/pp.print",11
"Library of Congress Geography and Map Division W ashington, D.C. 20540-4650 USA dcu",3
"Copy 1 Library of Congress Geography and Map Division Washington, D.C. 20540-4650 dcu",1
"Library of Congress Geography and Map Division Washington, D.C. 20540-4650 USA dcuie",1
"Library of Congress Geography and Map Division Washington, D.C. 20540-4650 duc.",1
"Library of Congress Manuscript Division Washington, D.C. 20540-4650 dcu",1
