provider.name,count_of_items,dataProvider_file_path
PA Digital,356763,files/dataProvider/PA Digital.csv,files/dataProvider/PA Digital.csv,files/dataProvider/PA Digital.csv,files/dataProvider/PA Digital.csv,files/dataProvider/PA Digital.csv,files/dataProvider/PA Digital.csv,files/dataProvider/PA Digital.csv,files/dataProvider/PA Digital.csv
Indiana Memory,318502,files/dataProvider/Indiana Memory.csv,files/dataProvider/Indiana Memory.csv,files/dataProvider/Indiana Memory.csv,files/dataProvider/Indiana Memory.csv,files/dataProvider/Indiana Memory.csv,files/dataProvider/Indiana Memory.csv,files/dataProvider/Indiana Memory.csv,files/dataProvider/Indiana Memory.csv
Illinois Digital Heritage Hub,290977,files/dataProvider/Illinois Digital Heritage Hub.csv,files/dataProvider/Illinois Digital Heritage Hub.csv,files/dataProvider/Illinois Digital Heritage Hub.csv,files/dataProvider/Illinois Digital Heritage Hub.csv,files/dataProvider/Illinois Digital Heritage Hub.csv,files/dataProvider/Illinois Digital Heritage Hub.csv,files/dataProvider/Illinois Digital Heritage Hub.csv,files/dataProvider/Illinois Digital Heritage Hub.csv
Michigan Service Hub,276215,files/dataProvider/Michigan Service Hub.csv,files/dataProvider/Michigan Service Hub.csv,files/dataProvider/Michigan Service Hub.csv,files/dataProvider/Michigan Service Hub.csv,files/dataProvider/Michigan Service Hub.csv,files/dataProvider/Michigan Service Hub.csv,files/dataProvider/Michigan Service Hub.csv,files/dataProvider/Michigan Service Hub.csv
Biodiversity Heritage Library,220248,files/dataProvider/Biodiversity Heritage Library.csv,files/dataProvider/Biodiversity Heritage Library.csv,files/dataProvider/Biodiversity Heritage Library.csv,files/dataProvider/Biodiversity Heritage Library.csv,files/dataProvider/Biodiversity Heritage Library.csv,files/dataProvider/Biodiversity Heritage Library.csv,files/dataProvider/Biodiversity Heritage Library.csv,files/dataProvider/Biodiversity Heritage Library.csv
Digital Library of Tennessee,185573,files/dataProvider/Digital Library of Tennessee.csv,files/dataProvider/Digital Library of Tennessee.csv,files/dataProvider/Digital Library of Tennessee.csv,files/dataProvider/Digital Library of Tennessee.csv,files/dataProvider/Digital Library of Tennessee.csv,files/dataProvider/Digital Library of Tennessee.csv,files/dataProvider/Digital Library of Tennessee.csv,files/dataProvider/Digital Library of Tennessee.csv
South Carolina Digital Library,179815,files/dataProvider/South Carolina Digital Library.csv,files/dataProvider/South Carolina Digital Library.csv,files/dataProvider/South Carolina Digital Library.csv,files/dataProvider/South Carolina Digital Library.csv,files/dataProvider/South Carolina Digital Library.csv,files/dataProvider/South Carolina Digital Library.csv,files/dataProvider/South Carolina Digital Library.csv,files/dataProvider/South Carolina Digital Library.csv
United States Government Publishing Office (GPO),178505,files/dataProvider/United States Government Publishing Office (GPO).csv,files/dataProvider/United States Government Publishing Office (GPO).csv,files/dataProvider/United States Government Publishing Office (GPO).csv,files/dataProvider/United States Government Publishing Office (GPO).csv,files/dataProvider/United States Government Publishing Office (GPO).csv,files/dataProvider/United States Government Publishing Office (GPO).csv,files/dataProvider/United States Government Publishing Office (GPO).csv,files/dataProvider/United States Government Publishing Office (GPO).csv
Sunshine State Digital Network,169973,files/dataProvider/Sunshine State Digital Network.csv,files/dataProvider/Sunshine State Digital Network.csv,files/dataProvider/Sunshine State Digital Network.csv,files/dataProvider/Sunshine State Digital Network.csv,files/dataProvider/Sunshine State Digital Network.csv,files/dataProvider/Sunshine State Digital Network.csv,files/dataProvider/Sunshine State Digital Network.csv,files/dataProvider/Sunshine State Digital Network.csv
Missouri Hub,169836,files/dataProvider/Missouri Hub.csv,files/dataProvider/Missouri Hub.csv,files/dataProvider/Missouri Hub.csv,files/dataProvider/Missouri Hub.csv,files/dataProvider/Missouri Hub.csv,files/dataProvider/Missouri Hub.csv,files/dataProvider/Missouri Hub.csv,files/dataProvider/Missouri Hub.csv
University of Washington,141873,files/dataProvider/University of Washington.csv,files/dataProvider/University of Washington.csv,files/dataProvider/University of Washington.csv,files/dataProvider/University of Washington.csv,files/dataProvider/University of Washington.csv,files/dataProvider/University of Washington.csv,files/dataProvider/University of Washington.csv,files/dataProvider/University of Washington.csv
Kentucky Digital Library,141677,files/dataProvider/Kentucky Digital Library.csv,files/dataProvider/Kentucky Digital Library.csv,files/dataProvider/Kentucky Digital Library.csv,files/dataProvider/Kentucky Digital Library.csv,files/dataProvider/Kentucky Digital Library.csv,files/dataProvider/Kentucky Digital Library.csv,files/dataProvider/Kentucky Digital Library.csv,files/dataProvider/Kentucky Digital Library.csv
ARTstor,133802,files/dataProvider/ARTstor.csv,files/dataProvider/ARTstor.csv,files/dataProvider/ARTstor.csv,files/dataProvider/ARTstor.csv,files/dataProvider/ARTstor.csv,files/dataProvider/ARTstor.csv,files/dataProvider/ARTstor.csv,files/dataProvider/ARTstor.csv
OKHub,111717,files/dataProvider/OKHub.csv,files/dataProvider/OKHub.csv,files/dataProvider/OKHub.csv,files/dataProvider/OKHub.csv,files/dataProvider/OKHub.csv,files/dataProvider/OKHub.csv,files/dataProvider/OKHub.csv,files/dataProvider/OKHub.csv
Digital Maryland,102537,files/dataProvider/Digital Maryland.csv,files/dataProvider/Digital Maryland.csv,files/dataProvider/Digital Maryland.csv,files/dataProvider/Digital Maryland.csv,files/dataProvider/Digital Maryland.csv,files/dataProvider/Digital Maryland.csv,files/dataProvider/Digital Maryland.csv,files/dataProvider/Digital Maryland.csv
Ohio Digital Network,100956,files/dataProvider/Ohio Digital Network.csv,files/dataProvider/Ohio Digital Network.csv,files/dataProvider/Ohio Digital Network.csv,files/dataProvider/Ohio Digital Network.csv,files/dataProvider/Ohio Digital Network.csv,files/dataProvider/Ohio Digital Network.csv,files/dataProvider/Ohio Digital Network.csv,files/dataProvider/Ohio Digital Network.csv
J. Paul Getty Trust,99082,files/dataProvider/J. Paul Getty Trust.csv,files/dataProvider/J. Paul Getty Trust.csv,files/dataProvider/J. Paul Getty Trust.csv,files/dataProvider/J. Paul Getty Trust.csv,files/dataProvider/J. Paul Getty Trust.csv,files/dataProvider/J. Paul Getty Trust.csv,files/dataProvider/J. Paul Getty Trust.csv,files/dataProvider/J. Paul Getty Trust.csv
David Rumsey,87458,files/dataProvider/David Rumsey.csv,files/dataProvider/David Rumsey.csv,files/dataProvider/David Rumsey.csv,files/dataProvider/David Rumsey.csv,files/dataProvider/David Rumsey.csv,files/dataProvider/David Rumsey.csv,files/dataProvider/David Rumsey.csv,files/dataProvider/David Rumsey.csv
Big Sky Country Digital Network,69752,files/dataProvider/Big Sky Country Digital Network.csv,files/dataProvider/Big Sky Country Digital Network.csv,files/dataProvider/Big Sky Country Digital Network.csv,files/dataProvider/Big Sky Country Digital Network.csv,files/dataProvider/Big Sky Country Digital Network.csv,files/dataProvider/Big Sky Country Digital Network.csv,files/dataProvider/Big Sky Country Digital Network.csv,files/dataProvider/Big Sky Country Digital Network.csv
Digital Maine,63492,files/dataProvider/Digital Maine.csv,files/dataProvider/Digital Maine.csv,files/dataProvider/Digital Maine.csv,files/dataProvider/Digital Maine.csv,files/dataProvider/Digital Maine.csv,files/dataProvider/Digital Maine.csv,files/dataProvider/Digital Maine.csv,files/dataProvider/Digital Maine.csv
District Digital,57757,files/dataProvider/District Digital.csv,files/dataProvider/District Digital.csv,files/dataProvider/District Digital.csv,files/dataProvider/District Digital.csv,files/dataProvider/District Digital.csv,files/dataProvider/District Digital.csv,files/dataProvider/District Digital.csv,files/dataProvider/District Digital.csv
Plains to Peaks Collective,46842,files/dataProvider/Plains to Peaks Collective.csv,files/dataProvider/Plains to Peaks Collective.csv,files/dataProvider/Plains to Peaks Collective.csv,files/dataProvider/Plains to Peaks Collective.csv,files/dataProvider/Plains to Peaks Collective.csv,files/dataProvider/Plains to Peaks Collective.csv,files/dataProvider/Plains to Peaks Collective.csv,files/dataProvider/Plains to Peaks Collective.csv
University of Virginia Library,30174,files/dataProvider/University of Virginia Library.csv,files/dataProvider/University of Virginia Library.csv,files/dataProvider/University of Virginia Library.csv,files/dataProvider/University of Virginia Library.csv,files/dataProvider/University of Virginia Library.csv,files/dataProvider/University of Virginia Library.csv,files/dataProvider/University of Virginia Library.csv,files/dataProvider/University of Virginia Library.csv
Harvard Library,17620,files/dataProvider/Harvard Library.csv,files/dataProvider/Harvard Library.csv,files/dataProvider/Harvard Library.csv,files/dataProvider/Harvard Library.csv,files/dataProvider/Harvard Library.csv,files/dataProvider/Harvard Library.csv,files/dataProvider/Harvard Library.csv,files/dataProvider/Harvard Library.csv
Library of Congress,4481,files/dataProvider/Library of Congress.csv,files/dataProvider/Library of Congress.csv,files/dataProvider/Library of Congress.csv,files/dataProvider/Library of Congress.csv,files/dataProvider/Library of Congress.csv,files/dataProvider/Library of Congress.csv,files/dataProvider/Library of Congress.csv,files/dataProvider/Library of Congress.csv
